what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327822643626
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1327822645651
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1327822663443
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327822664899
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1327822683950
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1327822722485
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327822733349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327822749662
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327822779611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327822798503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327822798970
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327822804827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1327822806600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327822806834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327822816432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327822838458
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327822846349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327822855404
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1327822856051
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1327822857472
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1327822858648
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1327822861591
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1327822868881
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1327822868954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327822877884
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823012202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823119165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327823126987
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1327823128887
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327823183068
executed,command,org.eclipse.debug.ui,,"org.eclipse.debug.ui.commands.RunLast",1327823185278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823215935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823216062
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1327823217076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1327823224413
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823225944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823249613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823251553
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823251624
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1327823377428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823378559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823509010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327823525869
executed,command,org.eclipse.debug.ui,,"org.eclipse.debug.ui.commands.RunLast",1327823531677
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823549378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823551277
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1327823553100
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1327823573265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823574661
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823664764
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1327823666926
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327823694472
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823700927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823736612
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.smartEnter",1327823745366
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1327823747266
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327823748088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823759513
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823829409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1327823837613
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327823871648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823906392
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823920505
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823925137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823960994
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823962490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823974023
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327823988699
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327823992301
executed,command,org.eclipse.debug.ui,,"org.eclipse.debug.ui.commands.RunLast",1327823996329
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823996412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327823996671
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1327824015321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327824061643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327824062382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327824062699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327824063955
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1327824065586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327824106198
executed,command,org.eclipse.debug.ui,,"org.eclipse.debug.ui.commands.RunLast",1327824107139
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1327824120629
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1327824137269
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1327824147369
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1327824171926
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327824209498
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1327824237247
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1327824239867
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327824243087
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1327824253922
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327824281906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327824289004
executed,command,org.eclipse.debug.ui,,"org.eclipse.debug.ui.commands.RunLast",1327824290262
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1327824295789
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1327824321512
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327824325574
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1327824371526
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1327824380935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327824387303
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1327824394632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1327824396254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327824396551
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327824398916
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1327824401537
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1327824403440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327824403728
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327824407693
executed,command,org.eclipse.debug.ui,,"org.eclipse.debug.ui.commands.RunLast",1327824410370
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1327824414797
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1327824445156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327824610255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327824616546
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1327824640934
executed,command,org.eclipse.debug.ui,,"org.eclipse.debug.ui.commands.RunLast",1327824642217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327824642260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327824642642
activated,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1327824659368
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1327824679250
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1327824680750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1327824681393
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327824697828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327825027226
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1327825029144
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.exit",1327825031765
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1327825032296
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1327825032420
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1327825032436
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1327825032467
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1327825032483
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1327825032498
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1327825032545
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1327825032561
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1327825032576
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1327825032592
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1327825032623
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1327825032670
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1327825032717
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1327825032717
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1327825032717
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1327825032732
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1327825032748
stopped,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1327825032764
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.200.v201004290730,"org.eclipse.jst.j2ee.ejb.annotations.ui",1327825032764
